%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1576563426423943000,170,1576563426423943000,base_link,12.6752877841,0.0,0.0,-0.00827270598615,0.0120232485001,-0.01517603561
1576563426524121000,171,1576563426524121000,base_link,12.4224922334,0.0,0.0,0.0022115919132,0.00671617432388,0.00997249781415
1576563426624316000,172,1576563426624316000,base_link,13.0964716717,0.0,0.0,0.00280619645146,-0.0160623943005,-0.0335817016514
1576563426724524000,173,1576563426724524000,base_link,11.9976549225,0.0,0.0,0.00250273300415,-0.0122032987946,0.00860887315872
1576563426824759000,174,1576563426824759000,base_link,12.5542817079,0.0,0.0,0.00439968097567,0.0255226179667,-0.0100968358277
1576563426924926000,175,1576563426924926000,base_link,13.1864730007,0.0,0.0,0.00730124227921,0.0261418156781,-0.0063690385915
1576563427025123000,176,1576563427025123000,base_link,12.2254329426,0.0,0.0,0.000346052459862,-0.000162115888591,-0.0235810461951
1576563427125332000,177,1576563427125332000,base_link,12.6795179444,0.0,0.0,-0.0021488099821,-0.0163738456161,0.0203363052555
1576563427225525000,178,1576563427225525000,base_link,11.9892963361,0.0,0.0,0.0198947073435,-0.0145709791142,-0.0137752259786
1576563427325716000,179,1576563427325716000,base_link,13.2644428058,0.0,0.0,0.00990575618888,-0.0110181905822,0.000410977725398
1576563427425904000,180,1576563427425904000,base_link,11.9629935199,0.0,0.0,0.0134805967301,0.00492113937125,0.00542592215783
1576563427526113000,181,1576563427526113000,base_link,12.6831974998,0.0,0.0,-0.0170194008537,0.0146030293402,-0.0095066948511
1576563427626285000,182,1576563427626285000,base_link,11.6508728029,0.0,0.0,-0.0192049249301,0.0188523263469,0.0138943037268
1576563427726483000,183,1576563427726483000,base_link,12.0739196316,0.0,0.0,-0.0131351910697,0.0115662125069,0.0120303423226
1576563427826674000,184,1576563427826674000,base_link,12.9771863584,0.0,0.0,0.00154040413595,-0.00839998908516,-0.00883491181313
1576563427926945000,185,1576563427926945000,base_link,10.9795123707,0.0,0.0,-0.00445745026962,-0.0115445316809,0.0193749250545
1576563428027067000,186,1576563428027067000,base_link,12.3988184998,0.0,0.0,0.0162574010734,-0.018878487952,-0.00373164128283
1576563428127278000,187,1576563428127278000,base_link,11.6732468732,0.0,0.0,0.00404015759116,0.0020374683816,0.00223012896747
1576563428227497000,188,1576563428227497000,base_link,12.0269800227,0.0,0.0,-0.00610418480278,0.0135081736372,0.00620640756243
1576563428327673000,189,1576563428327673000,base_link,12.0755524391,0.0,0.0,0.00530803864617,0.0343199632577,0.00775501067826
1576563428427855000,190,1576563428427855000,base_link,11.2911874098,0.0,0.0,-0.0105523877802,0.0290916009113,-0.0242673032176
1576563428528053000,191,1576563428528053000,base_link,11.5426987871,0.0,0.0,-0.0113220591873,0.0148400023939,0.0314236847815
1576563428628265000,192,1576563428628265000,base_link,12.1335894663,0.0,0.0,-0.00321143330219,-0.00763237690498,-0.0112515652622
1576563428728511000,193,1576563428728511000,base_link,10.8520549572,0.0,0.0,-0.0049941606921,-0.0165184970406,0.0154357156938
1576563428828716000,194,1576563428828716000,base_link,11.2030135237,0.0,0.0,-0.000221423385641,-0.0178662412776,0.00409127215372
1576563428928857000,195,1576563428928857000,base_link,12.0281342582,0.0,0.0,-0.000110912406971,-0.0154078966947,0.0103707113257
1576563429029106000,196,1576563429029106000,base_link,10.6912298783,0.0,0.0,-0.00225813203134,0.000997083802002,-0.000263444027146
1576563429129246000,197,1576563429129246000,base_link,10.9566884829,0.0,0.0,0.00111762478646,0.00602916610094,0.0175912400431
1576563429229459000,198,1576563429229459000,base_link,10.7020612906,0.0,0.0,0.00710081926954,0.0212510847442,-0.0151407614205
1576563429329622000,199,1576563429329622000,base_link,11.1133778634,0.0,0.0,-0.00931277335817,0.0164334966813,0.00486781969285
1576563429429815000,200,1576563429429815000,base_link,11.2046912757,0.0,0.0,0.00639802789171,0.00595431293585,-0.00628166714455
1576563429530064000,201,1576563429530064000,base_link,10.604017859,0.0,0.0,0.00274889406682,-0.0123249441568,0.016383250465
1576563429630287000,202,1576563429630287000,base_link,9.7226106579,0.0,0.0,-0.00720752704479,0.00265536107627,-0.0027425570513
1576563429730440000,203,1576563429730440000,base_link,10.9577046636,0.0,0.0,-0.00194037012307,0.00563516154392,0.0117018670812
1576563429830612000,204,1576563429830612000,base_link,9.95165136436,0.0,0.0,-0.00247731451798,0.00559567093847,0.00584606774319
1576563429930884000,205,1576563429930884000,base_link,10.1477988434,0.0,0.0,0.00105994761328,-0.00304466226105,0.000973311916857
1576563430031060000,206,1576563430031060000,base_link,10.0191656272,0.0,0.0,7.94951521053e-05,-0.0032721677293,-0.00501443179069
1576563430131245000,207,1576563430131245000,base_link,10.0294368591,0.0,0.0,-0.00167763625808,-0.00684380351459,0.00521716529673
1576563430231446000,208,1576563430231446000,base_link,9.79189019933,0.0,0.0,0.00490018296665,-0.00986441974228,0.00989968720564
1576563430331597000,209,1576563430331597000,base_link,9.83457787042,0.0,0.0,-0.00501043317033,-0.00238597161919,-0.00363431449917
1576563430431844000,210,1576563430431844000,base_link,9.54328676019,0.0,0.0,-0.0131353274218,-0.00131711427273,-0.00228953996975
1576563430531982000,211,1576563430531982000,base_link,9.22418958595,0.0,0.0,-0.0144906092027,0.00335758439712,0.00571413705065
1576563430632214000,212,1576563430632214000,base_link,9.37074658729,0.0,0.0,-0.00100696886143,0.0152746065307,-0.00190914665543
1576563430732369000,213,1576563430732369000,base_link,9.2473662185,0.0,0.0,0.0035069063863,0.00534197396527,0.00672611336534
1576563430832581000,214,1576563430832581000,base_link,9.39924526735,0.0,0.0,-0.0160687067109,-0.00413999725373,-0.0169630502241
1576563430932787000,215,1576563430932787000,base_link,9.10971893354,0.0,0.0,0.000843860267256,-0.0129797574854,0.0323690182189
1576563431032955000,216,1576563431032955000,base_link,9.18242233653,0.0,0.0,0.00242723691255,-0.0159056168036,-0.0025988797447
1576563431133151000,217,1576563431133151000,base_link,8.86740354134,0.0,0.0,-0.0057927512508,-0.000209225957773,0.00602058890788
1576563431233349000,218,1576563431233349000,base_link,8.71898761639,0.0,0.0,-0.0108409538899,0.00899783440893,0.0119589748911
1576563431333555000,219,1576563431333555000,base_link,8.90942461324,0.0,0.0,-0.00563892578667,0.0121403184988,0.00674697522492
1576563431433770000,220,1576563431433770000,base_link,8.55252282362,0.0,0.0,-0.0175800341224,0.00990413105687,0.0158498120629
1576563431533944000,221,1576563431533944000,base_link,8.14021664258,0.0,0.0,-0.000394337648894,0.00240458626462,0.0235960356448
1576563431634145000,222,1576563431634145000,base_link,8.95416876787,0.0,0.0,-0.000657939359222,0.00356807240883,-0.00335838820842
1576563431734375000,223,1576563431734375000,base_link,8.02558864826,0.0,0.0,-0.0169493395775,0.0096988668742,0.0159747533337
1576563431834520000,224,1576563431834520000,base_link,8.19685950881,0.0,0.0,-0.0096980210603,0.00838554600393,0.00929241251166
1576563431934749000,225,1576563431934749000,base_link,8.23853092443,0.0,0.0,-0.00523230827234,0.00624484877826,0.000909793367812
1576563432034939000,226,1576563432034939000,base_link,8.14967841261,0.0,0.0,-0.00834539235909,-0.00061222099241,-0.0167968357167
1576563432135139000,227,1576563432135139000,base_link,7.39631242556,0.0,0.0,-0.0207527087876,-0.0102493830872,-0.00353167996073
1576563432235332000,228,1576563432235332000,base_link,7.93611067481,0.0,0.0,-0.0164791418542,-0.0133829416924,-0.028815419489
1576563432335561000,229,1576563432335561000,base_link,7.30753586663,0.0,0.0,-0.0182763673918,-0.0183599395777,-0.0301612846714
