%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1576563415578858635,367869,1576563415578858635,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415613162901,367870,1576563415613162901,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415646294008,367871,1576563415646294008,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415679268153,367872,1576563415679268153,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415712770544,367873,1576563415712770544,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415746935695,367874,1576563415746935695,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415779971439,367875,1576563415779971439,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415813200534,367876,1576563415813200534,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415847114050,367877,1576563415847114050,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415879442915,367878,1576563415879442915,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415914224227,367879,1576563415914224227,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415947484907,367880,1576563415947484907,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415980802376,367881,1576563415980802376,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416014813310,367882,1576563416014813310,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416048031688,367883,1576563416048031688,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416080187470,367884,1576563416080187470,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416115038341,367885,1576563416115038341,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416148617737,367886,1576563416148617737,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416180608789,367887,1576563416180608789,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416214526247,367888,1576563416214526247,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416249759525,367889,1576563416249759525,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416281114235,367890,1576563416281114235,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416316295009,367891,1576563416316295009,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416350566678,367892,1576563416350566678,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416381531573,367893,1576563416381531573,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416416334540,367894,1576563416416334540,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416449714573,367895,1576563416449714573,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416481931563,367896,1576563416481931563,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416516790382,367897,1576563416516790382,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416551029977,367898,1576563416551029977,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416582260272,367899,1576563416582260272,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416617169865,367900,1576563416617169865,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416650411520,367901,1576563416650411520,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416682779586,367902,1576563416682779586,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416717942191,367903,1576563416717942191,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416751812860,367904,1576563416751812860,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416783127434,367905,1576563416783127434,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416818059527,367906,1576563416818059527,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416851261805,367907,1576563416851261805,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416883729707,367908,1576563416883729707,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416918488237,367909,1576563416918488237,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416950966434,367910,1576563416950966434,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563416983945270,367911,1576563416983945270,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417017809137,367912,1576563417017809137,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417052112560,367913,1576563417052112560,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
